population number of inhabitants | number of food | inhabitants
1995 (mn) food outlets per outlet outlets 1992/3 per outlet
1996/7 (000)* 1996/7 (000)** 1992/3
Germany 81.9 73.6 1111 44 1883
France 58.1 34.8 1667 87 670
UK 58.6 33.9 1667 60. 975
Italy 57.3 114.6 500 296 193
Spain 39.3 79 476 177 223
Netherlands 15.4 6 2500 21 748
Belgium/Lux 10.6 13 769 37 289
Greece 10.4 17.2 588 54 194
Portugal 9.9 27.3 344 53 188
Sweden 8.8 6.2 1428 14 609
Austria 8.1 7.2 1111 7 1157
Denmark 5.2 3.2 1667 12 446
Finland 5.1 4.1 1250 7 743
Ireland 3.6 9.5 370 9 383
EUI1S5 Total 372.3 429.4 867 876 425
